time_s,range_m,altitude_m,V_mps,mach,mass_kg,gamma_deg,thrust_N,drag_N,q_Pa,alpha_deg,phase
0,0,10000,254.602,0.85,554.344,0,0,1473.69,13402.2,15,separation
0.76,192.739,9999.26,252.626,0.843396,554.344,-0.442731,0,1449.81,13196.3,15,separation
1.52,384.002,9997.02,251.077,0.838196,554.274,-0.887233,18963.4,1315.26,13038.5,15,boost
2.28,597.457,10000,311.462,1.03983,541.147,2.42004,47408.9,2178.56,20056.9,15,boost
3.04,856.473,10018.9,371.922,1.24202,527.869,5.8358,47411.3,3491.95,28532.9,15,boost
3.8,1159.19,10059.6,431.941,1.4433,514.591,9.41849,47416.6,4448.09,38291.6,15,boost
4.56,1503.23,10128.6,491.574,1.64422,501.313,13.2306,47425.5,5510.69,49172.3,15,boost
5.32,1885.23,10233,550.674,1.8447,488.035,17.3109,47438.8,6642.83,60912,15,boost
6.08,2304.77,10374.2,616.49,2.06945,474.757,18.9268,47456.5,2212.67,75010.9,0.988049,boost
6.84,2774.34,10531.9,687.311,2.31254,461.479,18.0636,47475.9,2612.94,91412.9,-2.81076,boost
7.6,3299.11,10695.4,759.435,2.56139,448.201,16.508,47495.6,3378.51,109333,-5.22388,boost
8.36,3882.26,10854.7,831.5,2.81108,434.923,13.9611,47514.4,4612.46,128457,-7.41513,boost
9.12,4524.77,10998.3,888.186,3.00916,424.231,11.3093,1663.47,5583.41,143922,-8.45065,sustain
9.88,5186.24,11119,881.878,2.98871,423.706,9.5282,1668.08,3770.33,139306,-4.89036,sustain
10.64,5846.64,11222.4,877.396,2.97352,423.181,8.33381,1671.96,3345.61,135670,-3.44079,sustain
11.4,6505.75,11313.2,873.554,2.9605,422.656,7.36378,1675.31,3159.39,132581,-2.63988,sustain
12.16,7163.47,11393.1,870.098,2.94879,422.131,6.52347,1678.22,3039.8,129891,-2.02571,sustain
12.92,7819.72,11463.8,866.931,2.93806,421.606,5.78208,1680.76,2952.27,127523,-1.47033,sustain
13.68,8474.49,11526.2,863.993,2.9281,421.081,5.12491,1682.99,2886.73,125424,-0.939978,sustain
14.44,9127.74,11581.4,861.239,2.91877,420.555,4.54186,1684.94,2838.4,123550,-0.425651,sustain
15.2,9779.46,11630.2,858.632,2.90993,420.03,4.0246,1686.64,2803.94,121866,0.0745761,sustain
15.96,10429.6,11673.3,856.141,2.90149,419.505,3.56584,1688.14,2780.33,120343,0.518127,sustain
16.72,11078.3,11711.3,853.741,2.89335,418.98,3.15908,1689.46,2764.37,118955,0.893987,sustain
17.48,11725.4,11744.9,851.414,2.88547,418.455,2.79852,1690.61,2753.69,117684,1.21577,sustain
18.24,12370.9,11774.7,849.146,2.87778,417.93,2.47896,1691.63,2746.59,116513,1.4933,sustain
19,13014.8,11800.9,846.927,2.87026,417.405,2.19579,1692.52,2741.88,115428,1.73401,sustain
19.76,13657.3,11824.1,844.748,2.86288,416.88,1.9449,1693.31,2738.72,114417,1.94372,sustain
20.52,14298.1,11844.6,842.604,2.85561,416.354,1.72261,1694,2736.48,113471,2.12707,sustain
21.28,14937.4,11862.7,840.489,2.84844,415.829,1.52569,1694.61,2734.72,112581,2.28785,sustain
22.04,15575.2,11878.7,838.399,2.84136,415.304,1.35125,1695.15,2733.16,111741,2.4292,sustain
22.8,16211.5,11892.8,836.332,2.83435,414.779,1.19673,1695.62,2731.56,110944,2.55375,sustain
23.56,16846.2,11905.3,834.284,2.82742,414.254,1.05986,1696.04,2729.81,110185,2.66371,sustain
24.32,17479.4,11916.4,832.256,2.82054,413.729,0.938632,1696.4,2727.79,109460,2.76098,sustain
25.08,18111,11926.1,830.243,2.81372,413.204,0.831257,1696.73,2725.47,108765,2.84716,sustain
25.84,18741.2,11934.7,828.247,2.80696,412.679,0.736154,1697.02,2722.81,108096,2.92365,sustain
26.6,19369.9,11942.3,826.265,2.80024,412.154,0.651924,1697.27,2719.81,107451,2.99164,sustain
27.36,19997,11949,824.298,2.79357,411.628,0.577325,1697.49,2716.47,106827,3.05219,sustain
28.12,20622.7,11955,822.343,2.78695,411.103,0.511256,1697.69,2712.79,106222,3.10618,sustain
28.88,21247,11960.2,820.402,2.78037,410.578,0.452743,1697.86,2708.81,105634,3.15442,sustain
29.64,21869.7,11964.9,818.473,2.77383,410.053,0.400923,1698.02,2704.54,105061,3.19758,sustain
30.4,22491,11968.9,816.557,2.76734,409.528,0.35503,1698.15,2700,104503,3.23628,sustain
31.16,23110.9,11972.6,814.652,2.76088,409.003,0.314387,1698.27,2695.22,103957,3.27103,sustain
31.92,23729.3,11975.8,812.76,2.75447,408.478,0.278394,1698.38,2690.22,103422,3.3023,sustain
32.68,24346.2,11978.6,810.878,2.74809,407.953,0.246519,1698.47,2685.03,102898,3.33051,sustain
33.44,24961.8,11981.1,809.009,2.74176,407.428,0.218292,1698.55,2679.67,102384,3.35599,sustain
34.2,25575.9,11983.3,807.151,2.73546,406.902,0.193294,1698.62,2674.15,101879,3.37908,sustain
34.96,26188.7,11985.2,805.303,2.7292,406.377,0.171158,1698.69,2668.5,101383,3.40004,sustain
35.72,26800,11986.9,803.467,2.72298,405.852,0.151555,1698.75,2662.73,100893,3.41912,sustain
36.48,27409.9,11988.5,801.642,2.71679,405.327,0.134195,1698.8,2656.87,100412,3.43654,sustain
37.24,28018.5,11989.8,799.828,2.71064,404.802,0.118823,1698.84,2650.92,99936.6,3.45248,sustain
38,28625.7,11991,798.025,2.70453,404.277,0.105211,1698.88,2644.89,99468,3.46711,sustain
38.76,29231.5,11992,796.232,2.69846,403.752,0.0931571,1698.91,2638.81,99005.3,3.48058,sustain
39.52,29835.9,11993,794.45,2.69242,403.227,0.0824833,1698.94,2632.68,98548.4,3.49302,sustain
40.28,30439,11993.8,792.679,2.68641,402.701,0.0730316,1698.97,2626.5,98096.8,3.50454,sustain
41.04,31040.8,11994.5,790.918,2.68045,402.176,0.0646623,1698.99,2620.3,97650.4,3.51525,sustain
41.8,31641.2,11995.1,789.168,2.67452,401.651,0.0572514,1699.02,2614.08,97209,3.52524,sustain
42.56,32240.3,11995.7,787.428,2.66862,401.126,0.0506893,1699.03,2607.83,96772.3,3.53458,sustain
43.32,32838.1,11996.2,785.699,2.66276,400.601,0.0448787,1699.05,2601.58,96340.1,3.54334,sustain
44.08,33434.6,11996.6,783.98,2.65693,400.076,0.0397337,1699.06,2595.32,95912.4,3.55159,sustain
44.84,34029.8,11997,782.271,2.65114,399.551,0.0351781,1699.08,2589.07,95488.9,3.55939,sustain
45.6,34623.7,11997.4,780.572,2.64538,399.026,0.0311443,1699.09,2582.82,95069.5,3.56677,sustain
46.36,35216.3,11997.7,778.884,2.63966,398.501,0.0275727,1699.1,2576.57,94654.2,3.57378,sustain
47.12,35807.6,11997.9,777.206,2.63397,397.975,0.0244103,1699.11,2570.34,94242.7,3.58047,sustain
47.88,36397.6,11998.2,775.537,2.62832,397.45,0.0216103,1699.12,2564.12,93835.1,3.58686,sustain
48.64,36986.4,11998.4,773.879,2.6227,396.925,0.0191311,1699.12,2557.92,93431.2,3.59299,sustain
49.4,37573.9,11998.6,772.231,2.61712,396.4,0.0169361,1699.13,2551.74,93030.9,3.59887,sustain
50.16,38160.2,11998.7,770.593,2.61156,395.875,0.0149926,1699.13,2545.58,92634.2,3.60454,sustain
50.92,38745.2,11998.9,768.964,2.60604,395.35,0.0132718,1699.14,2539.45,92241,3.61001,sustain
51.68,39329,11999,767.345,2.60056,394.825,0.0117483,1699.14,2533.34,91851.3,3.6153,sustain
52.44,39911.6,11999.1,765.736,2.59511,394.3,0.0103994,1699.15,2527.25,91464.9,3.62043,sustain
53.2,40492.9,11999.2,764.137,2.58969,393.775,0.0092052,1699.15,2521.19,91081.8,3.62541,sustain
53.96,41073.1,11999.3,762.548,2.5843,393.249,0.00814787,1699.15,2515.16,90702,3.63025,sustain
54.72,41652,11999.4,760.968,2.57894,392.724,0.00721178,1699.16,2509.16,90325.5,3.63497,sustain
55.48,42229.7,11999.5,759.398,2.57362,392.199,0.00638301,1699.16,2503.19,89952.1,3.63957,sustain
56.24,42806.3,11999.5,757.837,2.56833,391.674,0.00564928,1699.16,2497.25,89581.9,3.64407,sustain
57,43381.7,11999.6,756.286,2.56308,391.149,0.00499969,1699.16,2491.34,89214.8,3.64847,sustain
57.76,43955.8,11999.6,754.744,2.55785,390.624,0.00442459,1699.16,2485.46,88850.7,3.65277,sustain
58.52,44528.9,11999.7,753.211,2.55266,390.099,0.00391546,1699.16,2479.62,88489.7,3.65699,sustain
59.28,45100.7,11999.7,751.688,2.5475,389.574,0.00346472,1699.17,2473.8,88131.7,3.66113,sustain
60.04,45671.4,11999.7,750.174,2.54237,389.048,0.00306568,1699.17,2468.02,87776.6,3.66519,sustain
60.8,46241,11999.8,748.67,2.53727,388.523,0.00271242,1699.17,2462.27,87424.5,3.66918,sustain
61.56,46809.4,11999.8,747.175,2.5322,387.998,0.00239968,1699.17,2456.55,87075.3,3.6731,sustain
62.32,47376.7,11999.8,745.689,2.52716,387.473,0.00212283,1699.17,2450.87,86729,3.67695,sustain
63.08,47942.9,11999.8,744.212,2.52216,386.948,0.00187773,1699.17,2445.22,86385.5,3.68074,sustain
63.84,48507.9,11999.8,742.744,2.51718,386.423,0.00166076,1699.17,2439.6,86044.8,3.68447,sustain
64.6,49071.8,11999.9,741.285,2.51224,385.898,0.00146869,1699.17,2434.01,85706.9,3.68814,sustain
65.36,49634.7,11999.9,739.835,2.50732,385.373,0.00129865,1699.17,2428.46,85371.8,3.69176,sustain
66.12,50196.4,11999.9,738.394,2.50244,384.848,0.00114813,1699.17,2422.94,85039.4,3.69532,sustain
66.88,50757,11999.9,736.962,2.49759,384.322,0.00101488,1699.17,2417.45,84709.8,3.69882,sustain
67.64,51316.6,11999.9,735.539,2.49277,383.797,0.000896928,1699.17,2411.99,84382.8,3.70228,sustain
68.4,51875,11999.9,734.125,2.48797,383.272,0.000792511,1699.17,2406.57,84058.5,3.70568,sustain
69.16,52432.4,11999.9,732.719,2.48321,382.747,0.000700079,1699.17,2401.18,83736.9,3.70904,sustain
69.92,52988.8,11999.9,731.323,2.47848,382.222,0.000618256,1699.17,2395.82,83417.8,3.71234,sustain
70.68,53544.1,11999.9,729.935,2.47377,381.697,0.000545826,1699.17,2390.5,83101.4,3.7156,sustain
71.44,54098.3,11999.9,728.555,2.4691,381.172,0.00048171,1699.17,2385.2,82787.6,3.71881,sustain
72.2,54651.5,11999.9,727.184,2.46445,380.647,0.000424953,1699.17,2379.94,82476.3,3.72197,sustain
72.96,55203.6,11999.9,725.822,2.45984,380.122,0.000374712,1699.17,2374.71,82167.5,3.72509,sustain
73.72,55754.7,11999.9,724.469,2.45525,379.596,0.000330238,1699.17,2369.51,81861.3,3.72816,sustain
74.48,56304.8,12000,723.124,2.45069,379.071,0.00029087,1699.17,2364.34,81557.6,3.73118,sustain
75.24,56853.9,12000,721.787,2.44616,378.546,0.000256021,1699.17,2359.21,81256.3,3.73416,sustain
76,57401.9,12000,720.459,2.44166,378.021,0.000225173,1699.17,2354.1,80957.5,3.7371,sustain
76.76,57949,12000,719.139,2.43719,377.496,0.000197866,1699.17,2349.03,80661.1,3.73999,sustain
77.52,58495,12000,717.827,2.43274,376.971,0.000173693,1699.17,2343.98,80367.2,3.74284,sustain
78.28,59040.1,12000,716.524,2.42832,376.446,0.000152295,1699.17,2338.97,80075.6,3.74564,sustain
79.04,59584.1,12000,715.229,2.42394,375.921,0.000133353,1699.17,2333.99,79786.5,3.7484,sustain
79.8,60127.2,12000,713.943,2.41957,375.395,0.000116585,1699.17,2329.04,79499.6,3.75111,sustain
80.56,60669.3,12000,712.664,2.41524,374.87,0.000101742,1699.17,2324.12,79215.2,3.75378,sustain
81.32,61210.5,12000,711.394,2.41094,374.345,8.8602e-05,1699.17,2319.23,78933,3.75641,sustain
82.08,61750.7,12000,710.132,2.40666,373.82,7.69697e-05,1699.17,2314.37,78653.1,3.75899,sustain
82.84,62289.9,12000,708.878,2.40241,373.295,6.66719e-05,1699.17,2309.53,78375.6,3.76153,sustain
83.6,62828.1,12000,707.632,2.39819,372.77,5.75555e-05,1699.17,2304.73,78100.3,3.76402,sustain
84.36,63365.5,12000,706.393,2.39399,372.245,4.94847e-05,1699.17,2299.96,77827.2,3.76648,sustain
85.12,63901.9,12000,705.163,2.38982,371.72,4.23394e-05,1699.17,2295.22,77556.4,3.76889,sustain
85.88,64437.3,12000,703.941,2.38568,371.195,3.60133e-05,1699.17,2290.5,77287.7,3.77125,sustain
86.64,64971.9,12000,702.727,2.38156,370.669,3.04123e-05,1699.17,2285.82,77021.3,3.77357,sustain
87.4,65505.5,12000,701.52,2.37747,370.144,2.54532e-05,1699.17,2281.16,76757.1,3.77585,sustain
88.16,66038.2,12000,700.322,2.37341,369.619,2.10621e-05,1699.17,2276.53,76495,3.77809,sustain
88.92,66570,12000,699.131,2.36938,369.094,1.71739e-05,1699.17,2271.93,76235.1,3.78028,sustain
89.68,67100.9,12000,697.948,2.36537,368.569,1.37308e-05,1699.17,2267.36,75977.3,3.78243,sustain
90.44,67630.8,12000,696.772,2.36138,368.044,1.06817e-05,1699.17,2262.82,75721.6,3.78454,sustain
91.2,68159.9,12000,695.605,2.35743,367.519,7.98139e-06,1699.17,2258.3,75468,3.7866,sustain
91.96,68688.2,12000,694.445,2.35349,366.994,5.58973e-06,1699.17,2253.81,75216.5,3.78862,sustain
92.72,69215.5,12000,693.292,2.34959,366.469,3.47133e-06,1699.17,2249.35,74967,3.7906,sustain
93.48,69742,12000,692.147,2.34571,365.943,1.59482e-06,1699.17,2244.92,74719.6,3.79253,sustain
94.24,70267.6,12000,691.01,2.34185,365.418,-6.75707e-08,1699.17,2240.51,74474.3,3.79442,sustain
95,70792.3,12000,689.88,2.33802,364.893,-1.54041e-06,1699.17,2236.13,74230.9,3.79627,sustain
95.76,71316.2,12000,688.757,2.33422,364.368,-2.84543e-06,1699.17,2231.78,73989.6,3.79807,sustain
96.52,71839.2,12000,687.642,2.33044,363.843,-4.0019e-06,1699.17,2227.46,73750.2,3.79984,sustain
97.28,72361.4,12000,686.535,2.32669,363.318,-5.02685e-06,1699.17,2223.16,73512.8,3.80155,sustain
98.04,72882.8,12000,685.435,2.32296,362.793,-5.93398e-06,1699.17,2218.89,73277.4,3.8032,sustain
98.8,73403.3,12000,684.342,2.31926,362.268,-6.72793e-06,1699.17,2214.63,73043.9,3.8047,sustain
99.56,73923,12000,683.256,2.31558,361.742,-7.41715e-06,1699.17,2210.4,72812.3,3.80607,sustain
100.32,74441.8,12000,682.178,2.31192,361.217,-8.01341e-06,1699.17,2206.19,72582.7,3.80731,sustain
101.08,74959.9,12000,681.107,2.30829,360.692,-8.52818e-06,1699.17,2202,72355,3.80843,sustain
101.84,75477.1,12000,680.043,2.30469,360.167,-8.97185e-06,1699.17,2197.84,72129.1,3.80943,sustain
102.6,75993.5,12000,678.987,2.30111,359.642,-9.35365e-06,1699.17,2193.69,71905.2,3.81034,sustain
103.36,76509.2,12000,677.937,2.29755,359.117,-9.68172e-06,1699.17,2189.57,71683.1,3.81114,sustain
104.12,77024,12000,676.895,2.29402,358.592,-9.96325e-06,1699.17,2185.47,71462.9,3.81185,sustain
104.88,77538.1,12000,675.86,2.29051,358.067,-1.02046e-05,1699.17,2181.4,71244.5,3.81248,sustain
105.64,78051.3,12000,674.832,2.28703,357.542,-1.04112e-05,1699.17,2177.35,71027.9,3.81303,sustain
106.4,78563.8,12000,673.811,2.28357,357.016,-1.05881e-05,1699.17,2173.32,70813.2,3.81351,sustain
107.16,79075.5,12000,672.797,2.28013,356.491,-1.07395e-05,1699.17,2169.31,70600.3,3.81392,sustain
107.92,79586.5,12000,671.79,2.27672,355.966,-1.08692e-05,1699.17,2165.33,70389.1,3.81427,sustain
108.68,80096.6,12000,670.791,2.27333,355.441,-1.09805e-05,1699.17,2161.38,70179.8,3.81457,sustain
109.44,80606.1,12000,669.798,2.26997,354.916,-1.10763e-05,1699.17,2157.45,69972.2,3.81481,sustain
110.2,81114.7,12000,668.812,2.26662,354.391,-1.1159e-05,1699.17,2153.54,69766.3,3.815,sustain
